sentence,label,domain,year,title,url,slide,obs
Contamination of Outer Planet Moon with biological agents of Earth origin on mission hardware.,exhazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,
"Exposure of Earth life or human assets on Earth to toxic, radioactive, or energetic elements of mission hardware.",exhazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,
"Exposure of Earth life or human assets off Earth to toxic, radioactive, or energetic elements of mission hardware.",exhazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,
"Inability of other space exploration missions to use shared space exploration infrastructure to collect, return, or use data.",hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,
Near mid-air collision (NMAC): Two controlled aircraft violate minimum separation standards).,hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
Controlled maneuver into ground.,hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
Pilot loses control of aircraft.,exhazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
Interference with other safety-related aircraft systems.,hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
Interference with the ground-based ATC system.,hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
Interference with ATC safety-related advisory.,hazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,
"When two aircraft are on a collision course, TCAS must always provide an RA to avoid the collision.",constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,
TCAS must not provide RAs that degrade vertical separation.,constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,
TCAS must always provide an RA in time to prevent an NMAC.,constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,
The pilot must always follow the RA provided by TCAS.,constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,
The system must not disrupt the pilot and ATC operations during critical phases of flight nor disrupt aircraft operation.,constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,43,
The pilot of a TCAS-equipped aircraft must have the option to switch to the Traffic-Advisory mode where traffic advisories are displayed but display of resolution advisories is prohibited.,constraint,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,43,
Doors open while train is in motion or not aligned with station platform.,hazard,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,44,
Door closes on a person.,hazard,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,44,
Passengers cannot evacuate in case of an emergency.,hazard,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,44,
Doors must not be opened until train is stopped and aligned with platform.,constraint,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,
Doors must not be closed if someone is in the doorway.,constraint,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,
" If a person is detected in doorway during door closing, door closing must be stopped and reversed.",constraint,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,
Train must not move with doors open.,constraint,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,
A pair of controlled aircraft violates minimum separation standards.,hazard,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,
Aircraft enters an unsafe atmospheric region.,hazard,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,
Aircraft enters uncontrolled state.,hazard,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,
Aircraft enters unsafe attitude (excessive turbulence or pitch/roll/yaw that causes passenger injury but not necessarily aircraft loss).,hazard,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,
Aircraft enters a prohibited area.,hazard,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,
The flight crew must not execute the ITP when it has not been approved by ATC.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The flight crew must not execute an ITP when the ITP criteria are not satisfied.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
"The flight crew must execute the ITP with correct climb rate, flight levels, Mach number, and other associated performance criteria.",constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The flight crew must not continue the ITP maneuver when it would be dangerous to do so.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The flight crew must not abort the ITP unnecessarily. (Rationale: An abort may violate separation minimums),constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
"When performing an abort, the flight crew must follow regional contingency procedures.",constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The flight crew must not execute the ITP before approval by ATC.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The flight crew must execute the ITP immediately when approved unless it would be dangerous to do so.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
The crew shall be given positive notification of arrival at the requested FL.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,
Approval of an ITP request must be given only when the ITP criteria are met.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
 Approval must be given to the requesting aircraft only.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
Approval must not be given too early or too late (needs to be clarified as to the actual time limits).,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
An abnormal termination instruction must be given when continuing the ITP would be unsafe.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
An abnormal termination instruction must not be given when it is not required to maintain safety and would result in a loss of separation.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
An abnormal termination instruction must be given immediately if an abort is required.,constraint,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,
Aircraft crashes.,exloss,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,16,
Death or injury.,loss,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Two aircraft violate minimum separation.,hazard,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Aircraft enters unsafe atmospheric region.,hazard,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Aircraft enters uncontrolled state.,hazard,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Aircraft enters unsafe attitude.,hazard,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Aircraft enters prohibited area.,hazard,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,
Pilot must execute maneuver once it is approved.,constraint,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,
Pilot must not perform ITP when criteria are not met or request has been refused.,constraint,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,
Pilot must start maneuver within X minutes of re-verifying ITP criteria.,constraint,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,
Collision with ISS.,exloss,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
Damage to SSRMS.,exloss,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
Loss of HTV mission.,loss,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
HTV is drifting to ISS while uncontrolled (deactivated).,hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
HTV provides unintended attitude control in proximity to SSRMS.,hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
HTV is inclined by a large angle in proximity to SSRMS.,hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
"HTV cannot be separated immediately when grappled unsafely (e.g., windmill).",hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
HTV provides thrust while captured by SSRMS.,hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
FRGF is unintendedly separated from HTV before or during capture.,hazard,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,
"Collisions resulting in loss of life, damage or severe disturbance of daily operation.",exloss,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp
Violating a minimum of separation between vehicles and between vehicles and objects.,hazard,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp
Take off / landing executed only when runway is empty.,exconstraint,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp
Crossing runways only when runway is not used for take off / landing.,exconstraint,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp
Maintenance and construction of infrastructure only when infrastructure is blocked.,exconstraint,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp
Two trains are on the same “Occlusive Section” travelling at different speed.,hazard,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp
"When a track section is occupied by a train, the TCC transmits control parameters representing track occupancy to other trains and issues warning signals (red) to the signal device in front of this section.",exconstraint,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp
The failures in the Train Control System must be identified and provided as feedback to the dispatcher of CTC in time.,constraint,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp
The dispatcher in the CTC and the watch keeper should identify the potential danger in the railway line and command the train to slow down or stop in emergency situations.,constraint,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp
vehicle occupants are injured while ACC is engaged.,exloss,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6,
"ACC did not maintain a safe distance  from the object in the front, resultng in collision.",hazard,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6,
"ACC slows down the vehicle too abruptly, and vehicle is rear-ended.",hazard,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6,
ACC should not let the vehicle gets in contact with the object ahead.,constraint,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7,
ACC should not brake too abruptly.,constraint,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7,
Gear for wrong direction.,exhazard,automotive,2012,Combining STPA and Assurance Cases,http://psas.scripts.mit.edu/home/get_pdf.php?name=3-4-Wagner-Combining-STPA-and-Assurance-Cases.pdf,15,
Shift to unsuitable gear for speed.,hazard,automotive,2012,Combining STPA and Assurance Cases,http://psas.scripts.mit.edu/home/get_pdf.php?name=3-4-Wagner-Combining-STPA-and-Assurance-Cases.pdf,15,
Vehicle occupants are injured while ACC is engaged.,exloss,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,
ACC does not maintain a safe distance from the object in the front (resulting in a collision).,hazard,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,
ACC slows down the vehicle too abruptly (and vehicle is rear-ended).,hazard,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,
ACC must not violate separation requirements with object ahead.,constraint,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,
ACC must not brake too abruptly.,constraint,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,
"Death, illness, or injury due to exposure to toxic chemicals.",loss,nuclear,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,16,
Uncontrolled release of toxic chemicals.,hazard,nuclear,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Toxic chemicals must not be released.,constraint,nuclear,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Two aircraft collide.,exloss,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Aircraft crashes into terrain / ocean.,exloss,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Two aircraft violate minimum separation.,hazard,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Aircraft enters unsafe atmospheric region.,hazard,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Aircraft enters uncontrolled state.,hazard,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Aircraft enters unsafe attitude.,hazard,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Aircraft enters prohibited area.,hazard,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,
Pilot must execute maneuver once it is approved.,constraint,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,
Pilot must not perform ITP when criteria are not met or request has been refused.,constraint,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,
Pilot must start maneuver within X minutes of re-verifying ITP criteria.,constraint,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,
Doors close on a person in the doorway.,hazard,train,2013,Extending and Automating STPA for Requirements Generation and Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Extending_Automating_STPA_Requirements_Generation_Analysis.pdf,10,
Doors open when the train is moving or not at platform.,hazard,train,2013,Extending and Automating STPA for Requirements Generation and Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Extending_Automating_STPA_Requirements_Generation_Analysis.pdf,10,
Passengers/staff are unable to exit during an emergency.,hazard,train,2013,Extending and Automating STPA for Requirements Generation and Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Extending_Automating_STPA_Requirements_Generation_Analysis.pdf,10,
"Reactor core is damaged because the SIAS does not operate when the 4 events—LOCA, 2 ndHSL, S/WP-Ex, or REA—occur.",exhazard,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
"Heat removal and fission clean up fail when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",hazard,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
Maintenance of pressure in a main control room fails when the two events—High-level radioactive at air intakes of MCR or the SIAS—occur.,hazard,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
"The SIAS must operate when the 4 events—LOCA, 2ndHSL, S/WP-Ex, or REA—occur.",constraint,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
"The CSAS must operate when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",constraint,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
The CREVAS must operate when the two events—High-level radioactive at air intakes of MCR or the SIAS—occur.,constraint,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,
People injured or killed.,loss,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,4,
Environment contaminated.,loss,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,4,
Equipment damage (economic loss).,loss,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,4,
Loss of electrical power generation.,loss,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,4,
Release of radioactive materials.,hazard,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,
Reactor temperature too high.,hazard,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,
Equipment operated beyond limits.,hazard,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,
Reactor shut down.,hazard,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,
Radiation Exposure.,loss,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,
Contaminated Enviroment.,loss,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,
Equipment Damage.,loss,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,
Injury or Death.,loss,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,
